sep=|
TIME|BUFF_UP|BUFF_DOWN|SPEED_UP|SIGHt_UP|INDEPENDENT|GESTATION_UP|ATTRACTIVENESS_UP
2239,921|4784|7271|7350|14650|7204|7173|0
2254,948|4861|7414|7468|14919|7328|7315|0
2270,108|4942|7536|7575|15128|7433|7434|0
2285,23|5036|7641|7715|15402|7566|7558|0
2300,371|5126|7776|7877|15700|7722|7683|0
2315,425|5250|7934|8037|15996|7889|7814|0
2330,435|5357|8089|8195|16299|8055|7972|0
2345,484|5470|8232|8374|16623|8212|8115|0
2360,512|5556|8370|8544|16964|8365|8260|0
2375,667|5622|8493|8660|17207|8475|8375|0
2390,685|5705|8603|8781|17442|8605|8491|0
2405,718|5804|8735|8905|17703|8758|8640|0
2420,904|5933|8886|9054|18006|8930|8810|0
2436,033|6047|9043|9192|18340|9124|8977|0
2451,204|6145|9191|9346|18648|9278|9118|0
2466,239|6249|9360|9500|18985|9424|9265|0
2481,403|6337|9517|9642|19290|9580|9431|0
2496,594|6427|9626|9775|19512|9691|9548|0
2511,728|6491|9752|9898|19747|9816|9645|0
2526,886|6585|9904|10059|20047|9936|9785|0
2541,892|6694|10057|10208|20325|10082|9948|0
